Bottom Elev (ft),Top Elev (ft),Trail Name,Vertical Drop (ft),Difficulty,Resort,Slope Length (ft),Average Steepness
8317.0,8481.0,Upper Saddle,161.0,green,Alpine Meadows,897.6,0.17936720142602494
7388.0,7841.0,Waterfall,453.0,green,Alpine Meadows,950.4,0.47664141414141414
7927.0,8156.0,Wolverine Bowl,233.0,green,Alpine Meadows,580.8,0.40117079889807167
8199.0,8314.0,Wolverine Saddle,112.0,green,Alpine Meadows,1108.8,0.10101010101010101
6913.0,6932.0,Terrain Park XS,20.0,green,Alpine Meadows,209.0,0.09569377990430622
6923.0,7008.0,Treeline Cirque Terrain Park,85.0,green,Alpine Meadows,515.0,0.1650485436893204
7441.0,7595.0,Yellow Terrain Park,154.0,green,Alpine Meadows,739.2,0.20833333333333331
6916.0,7070.0,Meadow,154.0,blue,Alpine Meadows,1056.0,0.14583333333333334
6857.0,6965.0,Subway,108.0,blue,Alpine Meadows,1056.0,0.10227272727272728
7762.0,8497.0,Alpine Bowl,735.0,blue,Alpine Meadows,2428.8,0.3026185770750988
7175.0,7451.0,Banana Chute,279.0,blue,Alpine Meadows,739.2,0.3774350649350649
7582.0,7927.0,Bobby's Run,341.0,blue,Alpine Meadows,1108.8,0.30753968253968256
7224.0,7605.0,Boomerang,381.0,blue,Alpine Meadows,1214.4,0.3137351778656126
7221.0,7638.0,Charity,417.0,blue,Alpine Meadows,1478.4,0.2820616883116883
7073.0,7438.0,Dance Floor,364.0,blue,Alpine Meadows,1320.0,0.27575757575757576
7083.0,7546.0,East Creek,463.0,blue,Alpine Meadows,2164.7999999999997,0.21387657058388768
6923.0,7201.0,East Runout,276.0,blue,Alpine Meadows,1795.2,0.1537433155080214
7290.0,7628.0,Fall Line,338.0,blue,Alpine Meadows,1003.2,0.3369218500797448
6932.0,7224.0,Kangaroo Main Run,292.0,blue,Alpine Meadows,1214.4,0.24044795783926218
6978.0,7280.0,Kangaroo Ridge,302.0,blue,Alpine Meadows,1531.1999999999998,0.1972309299895507
7067.0,7457.0,Ladies Slalom,387.0,blue,Alpine Meadows,1267.2,0.30539772727272724
7444.0,7782.0,Lakeview to Weasel,338.0,blue,Alpine Meadows,1953.6,0.17301392301392302
8022.0,8241.0,Leisure Lane,220.0,blue,Alpine Meadows,2006.4,0.10964912280701754
7375.0,7959.0,Maid Marian,584.0,blue,Alpine Meadows,2059.2000000000003,0.2836052836052836
7438.0,8235.0,Mountain View,797.0,blue,Alpine Meadows,2851.2000000000003,0.27953142536475867
6955.0,7372.0,Nick's Run,417.0,blue,Alpine Meadows,1478.4,0.2820616883116883
7434.0,8251.0,Outer Limits,817.0,blue,Alpine Meadows,2745.6,0.2975670163170163
7113.0,7434.0,Ray's Rut,322.0,blue,Alpine Meadows,3484.8,0.09240128558310376
7438.0,7802.0,Reily's Run,364.0,blue,Alpine Meadows,1161.6,0.31336088154269975
7536.0,7671.0,Return Road to Weasel,135.0,blue,Alpine Meadows,1478.4,0.09131493506493506
7618.0,8009.0,Robin Hood,394.0,blue,Alpine Meadows,1320.0,0.29848484848484846
7441.0,7871.0,Rock Garden,430.0,blue,Alpine Meadows,2323.2,0.1850895316804408
7028.0,7208.0,Sandy's Corner,180.0,blue,Alpine Meadows,792.0,0.22727272727272727
7526.0,7740.0,Scott Meadow,213.0,blue,Alpine Meadows,897.6,0.23729946524064172
7585.0,7986.0,Scott Ridge,400.0,blue,Alpine Meadows,1214.4,0.3293807641633728
7415.0,8087.0,Scott Ridge Run,673.0,blue,Alpine Meadows,2270.4,0.29642353770260743
7612.0,8228.0,Scotty's Beam,617.0,blue,Alpine Meadows,1742.4,0.35410927456382
7116.0,8015.0,Sherwood Run,899.0,blue,Alpine Meadows,4329.599999999999,0.20764042867701407
7441.0,7867.0,Shooting Star,430.0,blue,Alpine Meadows,1425.6000000000001,0.3016273849607183
7083.0,7421.0,Skateboard Alley,341.0,blue,Alpine Meadows,1478.4,0.2306547619047619
7644.0,7887.0,Standard Run,243.0,blue,Alpine Meadows,633.6,0.38352272727272724
7818.0,8031.0,Summer Road,213.0,blue,Alpine Meadows,1584.0,0.13446969696969696
7884.0,8465.0,Sun Spot,584.0,blue,Alpine Meadows,1636.8,0.3567937438905181
6906.0,7060.0,Tiegel,154.0,blue,Alpine Meadows,1636.8,0.09408602150537634
7434.0,7549.0,To Lakeview Chair,115.0,blue,Alpine Meadows,1900.8,0.06050084175084175
